N,E,psi,u,v,r
510.462,-197.82,3.11615,-0.000361516,0,0,
510.462,-197.82,3.11615,-0.000361516,0,0,
510.425,-198.444,3.0846,0.000586052,0,0,
510.425,-198.444,3.0846,0.000586052,0,0,
509.989,-198.525,3.12645,0.000524663,0,0,
509.989,-198.525,3.12645,0.000524663,0,0,
510.692,-198.924,3.09304,0.000316752,0,0,
510.692,-198.924,3.09304,0.000316752,0,0,
510.547,-198.287,3.09358,-4.23083e-05,0,0,
510.547,-198.287,3.09358,-4.23083e-05,0,0,
510.615,-198.258,3.08915,0.00036374,0,0,
510.615,-198.258,3.08915,0.00036374,0,0,
510.144,-198.587,3.12832,0.000524663,0,0,
510.144,-198.587,3.12832,0.000524663,0,0,
510.41,-198.873,3.09673,0.000586052,0,0,
510.41,-198.873,3.09673,0.000586052,0,0,
510.701,-198.349,3.09546,-4.23083e-05,0,0,
510.701,-198.349,3.09546,-4.23083e-05,0,0,
510.769,-198.32,3.09102,0.00036374,0,0,
510.769,-198.32,3.09102,0.00036374,0,0,
509.916,-198.792,3.11887,0.000458149,0,0,
509.916,-198.792,3.11887,0.000458149,0,0,
510.565,-198.935,3.0986,0.000586052,0,0,
510.565,-198.935,3.0986,0.000586052,0,0,
510.762,-198.534,3.09709,0.00036374,0,0,
510.762,-198.534,3.09709,0.00036374,0,0,
510.174,-198.368,3.09838,0.00036374,0,0,
510.174,-198.368,3.09838,0.00036374,0,0,
510.429,-198.092,3.09443,-4.23083e-05,0,0,
510.429,-198.092,3.09443,-4.23083e-05,0,0,
510.368,-198.433,3.08708,0.00036374,0,0,
510.368,-198.433,3.08708,0.00036374,0,0,
510.503,-198.088,3.12616,-0.000361516,0,0,
510.503,-198.088,3.12616,-0.000361516,0,0,
510.467,-198.711,3.09461,0.000586052,0,0,
510.467,-198.711,3.09461,0.000586052,0,0,
510.664,-198.31,3.0931,0.00036374,0,0,
510.664,-198.31,3.0931,0.00036374,0,0,
510.434,-198.075,3.12195,-0.000266416,0,0,
510.434,-198.075,3.12195,-0.000266416,0,0,
510.594,-198.467,3.08932,0.000586052,0,0,
510.594,-198.467,3.08932,0.000586052,0,0,
510.158,-198.549,3.13116,0.000524663,0,0,
510.158,-198.549,3.13116,0.000524663,0,0,
510.425,-198.835,3.09957,0.000586052,0,0,
510.425,-198.835,3.09957,0.000586052,0,0,
510.715,-198.311,3.0983,-4.23083e-05,0,0,
510.715,-198.311,3.0983,-4.23083e-05,0,0,
510.654,-198.652,3.09095,0.00036374,0,0,
510.654,-198.652,3.09095,0.00036374,0,0,
510.579,-197.791,3.11837,-0.000266416,0,0,
510.579,-197.791,3.11837,-0.000266416,0,0,
510.603,-198.642,3.0971,0.000586052,0,0,
510.603,-198.642,3.0971,0.000586052,0,0,
510.671,-198.612,3.09267,0.00036374,0,0,
510.671,-198.612,3.09267,0.00036374,0,0,
510.684,-197.812,3.11121,-0.000266416,0,0,
510.684,-197.812,3.11121,-0.000266416,0,0,
510.092,-198.737,3.10309,0.000586052,0,0,
510.092,-198.737,3.10309,0.000586052,0,0,
510.689,-198.696,3.09708,0.000316752,0,0,
510.689,-198.696,3.09708,0.000316752,0,0,
510.415,-198.431,3.09471,-4.23083e-05,0,0,
510.415,-198.431,3.09471,-4.23083e-05,0,0,
510.456,-198.016,3.10176,-0.000266416,0,0,
510.456,-198.016,3.10176,-0.000266416,0,0,
510.316,-198.393,3.1294,-0.000361516,0,0,
510.316,-198.393,3.1294,-0.000361516,0,0,
510.408,-198.646,3.10077,-4.23083e-05,0,0,
510.408,-198.646,3.10077,-4.23083e-05,0,0,
510.57,-198.493,3.09658,-4.23083e-05,0,0,
510.57,-198.493,3.09658,-4.23083e-05,0,0,
510.516,-198.201,3.10339,-0.000266416,0,0,
510.516,-198.201,3.10339,-0.000266416,0,0,
510.556,-197.786,3.11045,-0.000266416,0,0,
510.556,-197.786,3.11045,-0.000266416,0,0,
510.617,-198.389,3.09185,0.00036374,0,0,
510.617,-198.389,3.09185,0.00036374,0,0,
510.145,-198.719,3.13102,0.000524663,0,0,
510.145,-198.719,3.13102,0.000524663,0,0,
510.541,-198.634,3.10235,-4.23083e-05,0,0,
510.541,-198.634,3.10235,-4.23083e-05,0,0,
510.703,-198.481,3.09815,-4.23083e-05,0,0,
510.703,-198.481,3.09815,-4.23083e-05,0,0,
510.743,-198.066,3.10521,-0.000266416,0,0,
510.743,-198.066,3.10521,-0.000266416,0,0,
510.3,-198.78,3.13289,0.000524663,0,0,
510.3,-198.78,3.13289,0.000524663,0,0,
510.602,-198.819,3.10398,0.00036374,0,0,
510.602,-198.819,3.10398,0.00036374,0,0,
510.856,-198.258,3.09934,0.000797768,0,0,
510.856,-198.258,3.09934,0.000797768,0,0,
510.148,-198.115,3.11256,-0.000266416,0,0,
510.148,-198.115,3.11256,-0.000266416,0,0,
510.431,-198.223,3.09713,-4.23083e-05,0,0,
510.431,-198.223,3.09713,-4.23083e-05,0,0,
510.471,-197.809,3.10418,-0.000266416,0,0,
510.471,-197.809,3.10418,-0.000266416,0,0,
510.028,-198.523,3.13186,0.000524663,0,0,
510.028,-198.523,3.13186,0.000524663,0,0,
510.294,-198.809,3.10027,0.000586052,0,0,
510.294,-198.809,3.10027,0.000586052,0,0,
510.585,-198.285,3.099,-4.23083e-05,0,0,
510.585,-198.285,3.099,-4.23083e-05,0,0,
510.653,-198.255,3.09457,0.00036374,0,0,
510.653,-198.255,3.09457,0.00036374,0,0,
510.182,-198.585,3.13373,0.000524663,0,0,
510.182,-198.585,3.13373,0.000524663,0,0,
510.448,-198.871,3.10214,0.000586052,0,0,
510.448,-198.871,3.10214,0.000586052,0,0,
510.739,-198.347,3.10087,-4.23083e-05,0,0,
510.739,-198.347,3.10087,-4.23083e-05,0,0,
510.807,-198.317,3.09644,0.00036374,0,0,
