N,E,psi,u,v,r
532.282,-160.8,-2.15332,-0.000266416,0,0,
532.142,-161.177,-2.12568,-0.000361516,0,0,
532.142,-161.177,-2.12568,-0.000361516,0,0,
532.234,-161.429,-2.15431,-4.23083e-05,0,0,
532.234,-161.429,-2.15431,-4.23083e-05,0,0,
532.396,-161.276,-2.1585,-4.23083e-05,0,0,
532.396,-161.276,-2.1585,-4.23083e-05,0,0,
532.436,-160.861,-2.15145,-0.000266416,0,0,
532.436,-160.861,-2.15145,-0.000266416,0,0,
532.234,-161.011,-2.13408,-0.000266416,0,0,
532.234,-161.011,-2.13408,-0.000266416,0,0,
532.295,-161.614,-2.15268,0.00036374,0,0,
532.295,-161.614,-2.15268,0.00036374,0,0,
532.55,-161.338,-2.15663,-4.23083e-05,0,0,
532.55,-161.338,-2.15663,-4.23083e-05,0,0,
532.59,-160.923,-2.14958,-0.000266416,0,0,
532.59,-160.923,-2.14958,-0.000266416,0,0,
531.764,-161.78,-2.13322,0.000458149,0,0,
531.764,-161.78,-2.13322,0.000458149,0,0,
532.477,-160.94,-2.17373,-0.00037679,0,0,
532.477,-160.94,-2.17373,-0.00037679,0,0,
531.73,-161.69,-2.13432,0.000458149,0,0,
531.73,-161.69,-2.13432,0.000458149,0,0,
532.414,-161.585,-2.15191,0.00036374,0,0,
532.414,-161.585,-2.15191,0.00036374,0,0,
532.67,-161.309,-2.15586,-4.23083e-05,0,0,
532.67,-161.309,-2.15586,-4.23083e-05,0,0,
531.988,-161.266,-2.15481,0.00036374,0,0,
531.988,-161.266,-2.15481,0.00036374,0,0,
532.243,-160.99,-2.15876,-4.23083e-05,0,0,
532.243,-160.99,-2.15876,-4.23083e-05,0,0,
532.182,-161.331,-2.16611,0.00036374,0,0,
532.182,-161.331,-2.16611,0.00036374,0,0,
532.256,-160.759,-2.1373,-0.000361516,0,0,
532.256,-160.759,-2.1373,-0.000361516,0,0,
532.255,-161.134,-2.16617,0.00036374,0,0,
532.255,-161.134,-2.16617,0.00036374,0,0,
532.087,-161.126,-2.12705,-0.000361516,0,0,
532.087,-161.126,-2.12705,-0.000361516,0,0,
532.179,-161.379,-2.15567,-4.23083e-05,0,0,
532.179,-161.379,-2.15567,-4.23083e-05,0,0,
532.341,-161.226,-2.15987,-4.23083e-05,0,0,
532.341,-161.226,-2.15987,-4.23083e-05,0,0,
532.381,-160.811,-2.15281,-0.000266416,0,0,
532.381,-160.811,-2.15281,-0.000266416,0,0,
531.938,-161.525,-2.12514,0.000524663,0,0,
531.938,-161.525,-2.12514,0.000524663,0,0,
532.24,-161.564,-2.15404,0.00036374,0,0,
532.24,-161.564,-2.15404,0.00036374,0,0,
532.495,-161.287,-2.158,-4.23083e-05,0,0,
532.495,-161.287,-2.158,-4.23083e-05,0,0,
532.536,-160.872,-2.15094,-0.000266416,0,0,
532.536,-160.872,-2.15094,-0.000266416,0,0,
531.71,-161.73,-2.13458,0.000458149,0,0,
531.71,-161.73,-2.13458,0.000458149,0,0,
532.394,-161.625,-2.15217,0.00036374,0,0,
532.394,-161.625,-2.15217,0.00036374,0,0,
532.648,-161.065,-2.15682,0.000797768,0,0,
532.648,-161.065,-2.15682,0.000797768,0,0,
531.968,-161.306,-2.15507,0.00036374,0,0,
531.968,-161.306,-2.15507,0.00036374,0,0,
532.223,-161.03,-2.15902,-4.23083e-05,0,0,
532.223,-161.03,-2.15902,-4.23083e-05,0,0,
532.291,-161,-2.16346,0.00036374,0,0,
532.291,-161,-2.16346,0.00036374,0,0,
531.82,-161.33,-2.12429,0.000524663,0,0,
531.82,-161.33,-2.12429,0.000524663,0,0,
532.522,-161.728,-2.1577,0.000316752,0,0,
532.522,-161.728,-2.1577,0.000316752,0,0,
532.378,-161.092,-2.15715,-4.23083e-05,0,0,
532.378,-161.092,-2.15715,-4.23083e-05,0,0,
532.316,-161.433,-2.1645,0.00036374,0,0,
532.316,-161.433,-2.1645,0.00036374,0,0,
532.241,-160.571,-2.13708,-0.000266416,0,0,
532.241,-160.571,-2.13708,-0.000266416,0,0,
532.265,-161.422,-2.15835,0.000586052,0,0,
532.265,-161.422,-2.15835,0.000586052,0,0,
532.333,-161.392,-2.16278,0.00036374,0,0,
532.333,-161.392,-2.16278,0.00036374,0,0,
532.346,-160.592,-2.14425,-0.000266416,0,0,
532.346,-160.592,-2.14425,-0.000266416,0,0,
532.371,-161.443,-2.16552,0.000586052,0,0,
532.371,-161.443,-2.16552,0.000586052,0,0,
531.935,-161.525,-2.12368,0.000524663,0,0,
531.935,-161.525,-2.12368,0.000524663,0,0,
532.237,-161.563,-2.15259,0.00036374,0,0,
532.237,-161.563,-2.15259,0.00036374,0,0,
532.492,-161.287,-2.15654,-4.23083e-05,0,0,
532.492,-161.287,-2.15654,-4.23083e-05,0,0,
532.56,-161.257,-2.16097,0.00036374,0,0,
532.56,-161.257,-2.16097,0.00036374,0,0,
531.32,-161.413,-2.14919,0.000458149,0,0,
531.32,-161.413,-2.14919,0.000458149,0,0,
532.228,-160.815,-2.16363,-4.23083e-05,0,0,
532.228,-160.815,-2.16363,-4.23083e-05,0,0,
531.663,-161.267,-2.1247,0.000524663,0,0,
531.663,-161.267,-2.1247,0.000524663,0,0,
532.874,-161.647,-2.16348,0.000316752,0,0,
532.874,-161.647,-2.16348,0.000316752,0,0,
531.859,-160.736,-2.14621,-0.000266416,0,0,
531.859,-160.736,-2.14621,-0.000266416,0,0,
532.013,-161.216,-2.16456,-4.23083e-05,0,0,
532.013,-161.216,-2.16456,-4.23083e-05,0,0,
532.436,-160.882,-2.1217,-0.000361516,0,0,
532.436,-160.882,-2.1217,-0.000361516,0,0,
532.4,-161.505,-2.15324,0.000586052,0,0,
532.4,-161.505,-2.15324,0.000586052,0,0,
532.468,-161.476,-2.15767,0.00036374,0,0,
532.468,-161.476,-2.15767,0.00036374,0,0,
531.852,-160.924,-2.14489,-0.000266416,0,0,
531.852,-160.924,-2.14489,-0.000266416,0,0,
532.135,-161.033,-2.16033,-4.23083e-05,0,0,
532.135,-161.033,-2.16033,-4.23083e-05,0,0,
532.203,-161.004,-2.16476,0.00036374,0,0,
532.203,-161.004,-2.16476,0.00036374,0,0,
531.732,-161.333,-2.1256,0.000524663,0,0,
531.732,-161.333,-2.1256,0.000524663,0,0,
532.434,-161.731,-2.15901,0.000316752,0,0,
532.434,-161.731,-2.15901,0.000316752,0,0,
532.289,-161.095,-2.15846,-4.23083e-05,0,0,
532.289,-161.095,-2.15846,-4.23083e-05,0,0,
532.228,-161.436,-2.16581,0.00036374,0,0,
532.228,-161.436,-2.16581,0.00036374,0,0,
532.214,-160.802,-2.12812,-0.000361516,0,0,
532.214,-160.802,-2.12812,-0.000361516,0,0,
532.177,-161.425,-2.15966,0.000586052,0,0,
532.177,-161.425,-2.15966,0.000586052,0,0,
532.245,-161.396,-2.16409,0.00036374,0,0,
532.245,-161.396,-2.16409,0.00036374,0,0,
532.169,-160.534,-2.13667,-0.000266416,0,0,
532.169,-160.534,-2.13667,-0.000266416,0,0,
532.194,-161.385,-2.15794,0.000586052,0,0,
532.194,-161.385,-2.15794,0.000586052,0,0,
532.262,-161.355,-2.16237,0.00036374,0,0,
532.262,-161.355,-2.16237,0.00036374,0,0,
532.275,-160.555,-2.14384,-0.000266416,0,0,
532.275,-160.555,-2.14384,-0.000266416,0,0,
532.299,-161.406,-2.16511,0.000586052,0,0,
532.299,-161.406,-2.16511,0.000586052,0,0,
532.106,-160.923,-2.13358,-0.000266416,0,0,
532.106,-160.923,-2.13358,-0.000266416,0,0,
532.13,-161.773,-2.15485,0.000586052,0,0,
532.13,-161.773,-2.15485,0.000586052,0,0,
532.421,-161.249,-2.15613,-4.23083e-05,0,0,
532.421,-161.249,-2.15613,-4.23083e-05,0,0,
532.489,-161.22,-2.16056,0.00036374,0,0,
532.489,-161.22,-2.16056,0.00036374,0,0,
